종목명	회사구분	접수일자	보고서명(정지유형)	제출인
NH투자증권	유	2025.11.07	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
세아특수강	기	2025.10.30	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
신세계인터내셔날	유	2025.10.28	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
SIMPAC	유	2025.10.02	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
호텔신라	유	2025.09.18	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
일양약품	유	2025.09.10	매매거래정지및정지해제(풍문등조회공시)	유가증권시장본부
신세계푸드	기	2025.08.28	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
KPX케미칼	유	2025.08.28	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
에이치디현대미포	기	2025.08.27	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
HD현대중공업	유	2025.08.27	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
코오롱모빌리티그룹	기	2025.08.07	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
트리니티항공	유	2025.08.07	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
한일현대시멘트	기	2025.07.17	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
신성통상	기	2025.07.17	매매거래정지및정지해제(중요내용공시) (상장폐지신청)	유가증권시장본부
STX그린로지스	유	2025.07.03	매매거래정지및정지해제(풍문등조회공시)	유가증권시장본부
STX그린로지스	유	2025.07.02	매매거래정지및정지해제(풍문등조회공시)	유가증권시장본부
STX	유	2025.07.02	매매거래정지및정지해제(풍문등조회공시)	유가증권시장본부
코오롱글로벌	유	2025.07.01	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
에이치디현대인프라코어	기	2025.07.01	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
HD건설기계	유	2025.07.01	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
동성제약	유	2025.06.24	매매거래정지및정지해제(풍문등조회공시)	유가증권시장본부
HLB글로벌	유	2025.06.20	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
한솔테크닉스	유	2025.06.20	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
경보제약	유	2025.06.12	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
한솔피엔에스	기	2025.06.10	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
삼양홀딩스	유	2025.05.30	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
삼성바이오로직스	유	2025.05.22	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
IPARK현대산업개발	유	2025.05.16	매매거래정지및정지해제(중요내용공시)	유가증권시장본부
삼익THK	유	2025.05.09	매매거래정지및정지해제(풍문등조회공시)	유가증권시장본부
동성제약	유	2025.05.07	매매거래정지및정지해제(풍문등조회공시)	유가증권시장본부
