종목명	시장	접수일자	정지사유	제출인
유디엠텍	코	2026.04.09	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
앱튼	코	2026.04.09	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
아이퀘스트	코	2026.04.09	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
빌리언스	코	2026.04.09	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
모아텍	코	2026.04.09	이익소각	코스닥시장본부
경남제약	코	2026.04.09	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
TS트릴리온	코	2026.04.09	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
HC홈센타	코	2026.04.09	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
파인디앤씨	코	2026.04.08	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
큐로홀딩스	코	2026.04.08	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
졸스	코	2026.04.08	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
엔시트론	코	2026.04.08	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
에스코넥	코	2026.04.08	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
상상인제4호기업인수목적	기	2026.04.08	상장폐지 사유발생	코스닥시장본부
바른손이앤에이	코	2026.04.08	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
뉴온	코	2026.04.08	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
GMI벤처	코	2026.04.08	자본감소	코스닥시장본부
형지I&C	코	2026.04.07	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
한울앤제주	코	2026.04.07	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
판타지오	코	2026.04.07	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
파라택시스코리아	코	2026.04.07	상장적격성 실질심사 대상(사유발생)	코스닥시장본부
티사이언티픽	코	2026.04.07	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
지엔코	코	2026.04.07	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
인화정공	코	2026.04.07	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
인포바인	코	2026.04.07	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
위즈코프	코	2026.04.07	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
와이씨켐	코	2026.04.07	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
알파AI	코	2026.04.07	풍문 또는 보도 관련	코스닥시장본부
아이오케이이엔엠	코	2026.04.07	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
스코넥	코	2026.04.07	풍문 또는 보도 관련	코스닥시장본부
휴맥스홀딩스	코	2026.04.06	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
휴맥스	코	2026.04.06	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
한국유니온제약	코	2026.04.06	투자자 보호	코스닥시장본부
팬스타엔터프라이즈	코	2026.04.06	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
타이드	넥	2026.04.06	풍문 또는 보도 관련	코넥스시장
케스피온	코	2026.04.06	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
재영솔루텍	코	2026.04.06	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
이미지스 IR	코	2026.04.06	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
에코글로우	코	2026.04.06	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
센서뷰	코	2026.04.06	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
뉴인텍	코	2026.04.06	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
MDS테크	코	2026.04.06	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
휴럼	코	2026.04.03	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
한주에이알티	코	2026.04.03	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
에코마케팅	기	2026.04.03	주식교환, 이전	코스닥시장본부
알티캐스트	코	2026.04.03	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
아이티켐	코	2026.04.03	풍문 또는 보도 관련	코스닥시장본부
아이티센엔텍 IR	코	2026.04.03	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
아이에이	코	2026.04.03	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
밸로프	코	2026.04.03	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
디에이치엑스컴퍼니	코	2026.04.03	풍문 또는 보도 관련	코스닥시장본부
화일약품	코	2026.04.02	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
한화플러스제4호기업인수목적	기	2026.04.02	상장폐지 사유발생	코스닥시장본부
폴라리스우노	코	2026.04.02	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
폴라리스AI	코	2026.04.02	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
에이전트AI IR	코	2026.04.02	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
비트맥스	코	2026.04.02	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
대신밸런스제16호기업인수목적	기	2026.04.02	상장폐지사유 발생	코스닥시장본부
HLB이노베이션	코	2026.04.01	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
캐리	코	2026.03.31	상장폐지 사유발생	코스닥시장본부
성원에너텍	코	2026.03.31	투자자 보호	코스닥시장본부
레드우즈	넥	2026.03.31	풍문 또는 보도 관련	코넥스시장
펨토바이오메드	기	2026.03.30	상장폐지사유 발생	코넥스시장
소노스퀘어	코	2026.03.27	자본감소	코스닥시장본부
대동금속	코	2026.03.26	무상증자	코스닥시장본부
스피어	코	2026.03.25	단일판매공급계약	코스닥시장본부
메이슨캐피탈	코	2026.03.25	자본감소	코스닥시장본부
유안타제11호기업인수목적	기	2026.03.24	상장폐지 사유발생	코스닥시장본부
아스타 IR	코	2026.03.24	풍문 또는 보도 관련	코스닥시장본부
브이엠	코	2026.03.24	단일판매공급계약	코스닥시장본부
한국제12호기업인수목적	기	2026.03.23	상장폐지 사유발생	코스닥시장본부
테크트랜스	넥	2026.03.23	상장폐지사유발생	코넥스시장
제이스코홀딩스	코	2026.03.23	풍문 또는 보도 관련	코스닥시장본부
인베니아	코	2026.03.23	관리종목지정사유발생	코스닥시장본부
옵티코어 IR	코	2026.03.23	풍문 또는 보도 관련	코스닥시장본부
엔지켐생명과학	코	2026.03.23	풍문 또는 보도 관련	코스닥시장본부
아퓨어스	기	2026.03.23	상장폐지사유발생	코넥스시장
아이톡시	코	2026.03.23	풍문 또는 보도 관련	코스닥시장본부
루트K	코	2026.03.23	관리종목지정사유발생	코스닥시장본부
롤링스톤	코	2026.03.23	풍문 또는 보도 관련	코스닥시장본부
KD	코	2026.03.23	상장폐지 사유발생	코스닥시장본부
레몬	코	2026.03.20	관리종목지정사유발생	코스닥시장본부
케이이엠텍	코	2026.03.19	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
창대정밀	기	2026.03.17	분산요건미달 사유 발생	코넥스시장
엔시트론	코	2026.03.17	자본감소	코스닥시장본부
나우코스	기	2026.03.17	주식교환·이전 결정	코넥스시장
오션인더블유	코	2026.03.16	자본감소	코스닥시장본부
엑시온그룹	코	2026.03.16	자본감소	코스닥시장본부
셀루메드	코	2026.03.16	투자자 보호	코스닥시장본부
비트맥스	코	2026.03.16	관리종목지정사유발생	코스닥시장본부
다원시스	코	2026.03.16	투자자보호	코스닥시장본부
위지트	코	2026.03.13	자본감소	코스닥시장본부
디에이피	코	2026.03.13	관리종목지정우려	코스닥시장본부
뉴온	코	2026.03.13	자본감소	코스닥시장본부
판타지오	코	2026.03.12	자본감소	코스닥시장본부
졸스	코	2026.03.12	자본감소	코스닥시장본부
에이루트	코	2026.03.12	자본감소	코스닥시장본부
아이오케이이엔엠	코	2026.03.12	자본감소	코스닥시장본부
한울앤제주	코	2026.03.11	자본감소	코스닥시장본부
뉴인텍	코	2026.03.11	자본감소	코스닥시장본부
한주에이알티	코	2026.03.10	자본감소	코스닥시장본부
씨어스	코	2026.03.10	무상증자	코스닥시장본부
케이이엠텍	코	2026.03.09	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
비트맥스	코	2026.03.09	자본감소	코스닥시장본부
비엔케이제2호기업인수목적	기	2026.03.09	SPAC 소멸합병	코스닥시장본부
모다이노칩	코	2026.03.09	합병	코스닥시장본부
로젠	코	2026.03.09	합병	코스닥시장본부
티사이언티픽	코	2026.03.06	자본감소	코스닥시장본부
대진첨단소재	코	2026.03.06	상장적격성 실질심사 대상 (사유발생)	코스닥시장본부
KD	코	2026.03.05	회생절차개시신청	코스닥시장본부
다원시스	코	2026.03.04	불성실공시법인 지정	코스닥시장본부
TJ미디어	코	2026.03.04	무상증자	코스닥시장본부
에스케이증권제10호기업인수목적	기	2026.03.03	상장폐지 사유발생	코스닥시장본부
푸른저축은행	코	2026.02.27	상장적격성 실질심사 대상(사유발생))	코스닥시장본부
에이전트AI IR	코	2026.02.26	자본감소	코스닥시장본부
오늘이엔엠 IR	코	2026.02.24	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
엔에스엠	기	2026.02.24		코넥스시장
에어레인	코	2026.02.23	무상증자	코스닥시장본부
앱토크롬	코	2026.02.23	자본감소	코스닥시장본부
제이케이시냅스	코	2026.02.20	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
센서뷰	코	2026.02.20	자본감소	코스닥시장본부
CSA 코스믹	코	2026.02.20	자본감소	코스닥시장본부
플럼라인생명과학	넥	2026.02.19	자본전액잠식 사실 발생	코넥스시장
유안타제14호기업인수목적	기	2026.02.19	상장폐지 사유 발생	코스닥시장본부
스피어	코	2026.02.19	단일판매공급계약	코스닥시장본부
헝셩그룹	코	2026.02.13	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
에스케이증권제9호기업인수목적	기	2026.02.13	상장폐지 사유발생	코스닥시장본부
머니무브	넥	2026.02.13	자본전액잠식 사실 발생	코넥스시장
오리엔트정공	코	2026.02.12	영업양수도	코스닥시장본부
엑시온그룹	코	2026.02.12	단일판매공급계약	코스닥시장본부
쎄트렉아이	코	2026.02.12	단일판매공급계약	코스닥시장본부
루트K	코	2026.02.12	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
디비금융스팩12호	코	2026.02.12	SPAC 합병(예비심사청구대상)	코스닥시장본부
인크레더블버즈 IR	코	2026.02.06	상장적격성 실질심사 대상 (사유발생)	코스닥시장본부
유틸렉스	코	2026.02.06	상장적격성 실질심사 대상 (사유발생)	코스닥시장본부
한울앤제주	코	2026.02.04	불성실공시법인 지정	코스닥시장본부
제이케이시냅스	코	2026.02.04	풍문 또는 보도 관련	코스닥시장본부
오성첨단소재	코	2026.02.04	영업양수도	코스닥시장본부
삼양엔씨켐	코	2026.02.04	무상증자	코스닥시장본부
영화테크	코	2026.02.03	단일판매공급계약	코스닥시장본부
에코볼트	코	2026.02.02	자본감소	코스닥시장본부
캠시스	코	2026.01.30	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
루닛	코	2026.01.30	무상증자	코스닥시장본부
교보14호기업인수목적	기	2026.01.28	상장폐지 사유발생	코스닥시장본부
파라택시스이더리움	코	2026.01.27	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
엠아이큐브솔루션	코	2026.01.26	무상증자	코스닥시장본부
이노벡스	기	2026.01.23	회생절차개시신청	코넥스시장
하나29호기업인수목적	기	2026.01.22	상장폐지 사유발생	코스닥시장본부
볼빅 IR	넥	2026.01.22	풍문 또는 보도 관련	코넥스시장
하이제8호기업인수목적	기	2026.01.16	상장폐지 사유발생	코스닥시장본부
엘컴텍	코	2026.01.16	자본감소	코스닥시장본부
브이엠	코	2026.01.16	단일판매공급계약	코스닥시장본부
케이비제25호기업인수목적	기	2026.01.15	상장폐지 사유발생	코스닥시장본부
유안타제12호기업인수목적	기	2026.01.15	상장폐지 사유발생	코스닥시장본부
카이노스메드	코	2026.01.14	투자자보호	코스닥시장본부
아진엑스텍	코	2026.01.14	무상증자	코스닥시장본부
삼천리자전거	코	2026.01.12	상장적격성 실질심사 대상 (사유발생)	코스닥시장본부
엔케이젠바이오텍코리아	코	2026.01.07	투자자보호	코스닥시장본부
베노티앤알	코	2026.01.06	영업양수도	코스닥시장본부
루트K	코	2026.01.05	자본감소	코스닥시장본부
성원에너텍	코	2025.12.24	무상증자	코스닥시장본부
골드앤에스	코	2025.12.24	영업양수도	코스닥시장본부
하나기술	코	2025.12.23	단일판매공급계약	코스닥시장본부
에이치엘비사이언스	기	2025.12.23	주식의 병합, 분할 등 전자등록 변경, 말소	코넥스시장
에이엠시지	기	2025.12.23	자진상장폐지 신청	코넥스시장
뷰티스킨	코	2025.12.23	무상증자	코스닥시장본부
SCL사이언스	코	2025.12.23	영업양수도	코스닥시장본부
이앤에치	기	2025.12.22	회생절차개시신청	코넥스시장
파두	코	2025.12.18	상장심사 제출서류 중요사항 거짓 기재 관련 보도	코스닥시장본부
저스템	코	2025.12.18	무상증자	코스닥시장본부
자연과환경	코	2025.12.18	단일판매공급계약	코스닥시장본부
대신밸런스제18호기업인수목적	기	2025.12.17	SPAC 소멸합병	코스닥시장본부
에이전트AI IR	코	2025.12.16	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
미래에셋비전기업인수목적3호	기	2025.12.15	SPAC 소멸합병	코스닥시장본부
레드우즈	넥	2025.12.15	주식의 병합, 분할 등 전자등록 변경, 말소	코넥스시장
한국첨단소재	코	2025.12.12	무상증자	코스닥시장본부
하이딥	코	2025.12.12	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
디에이테크놀로지 IR	코	2025.12.11	투자자 보호	코스닥시장본부
폰드그룹	코	2025.12.09	무상증자	코스닥시장본부
자람테크놀로지	코	2025.12.09	단일판매공급계약	코스닥시장본부
아이비케이에스제22호기업인수목적	기	2025.12.09	SPAC 소멸합병	코스닥시장본부
캠시스	코	2025.12.08	자본감소	코스닥시장본부
길교이앤씨	기	2025.12.08		코넥스시장
블루콤	코	2025.12.05	중요한 영업정지	코스닥시장본부
뉴온	코	2025.12.05	중요한 영업정지	코스닥시장본부
골드앤에스	코	2025.12.04	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
아이톡시	코	2025.12.03	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
코스나인	기	2025.12.01	투자자 보호	코스닥시장본부
테라사이언스	코	2025.11.28	투자자 보호	코스닥시장본부
교보16호스팩	코	2025.11.28	SPAC 합병(예비심사청구대상)	코스닥시장본부
프레스티지바이오로직스	코	2025.11.26	단일판매공급계약	코스닥시장본부
신한제12호스팩	코	2025.11.26	SPAC 합병(예비심사청구대상)	코스닥시장본부
비츠로셀	코	2025.11.26	무상증자	코스닥시장본부
스피어	코	2025.11.25	단일판매공급계약	코스닥시장본부
라온피플	코	2025.11.21	무상증자	코스닥시장본부
크레오에스지	코	2025.11.20	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
골드앤에스	코	2025.11.20	영업양수도	코스닥시장본부
EDGC	코	2025.11.20	투자자 보호	코스닥시장본부
프리시젼바이오	코	2025.11.14	우회상장여부 및 요건충족확인	코스닥시장본부
케이지에이 IR	코	2025.11.14	상장적격성 실질심사 대상 (사유발생)	코스닥시장본부
인베니아	코	2025.11.14	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
엔켐	코	2025.11.14	상장적격성 실질심사 대상 (사유발생)	코스닥시장본부
엔젯	코	2025.11.14	영업양수도	코스닥시장본부
엔에이치기업인수목적29호	기	2025.11.14	SPAC 합병(예비심사청구대상)	코스닥시장본부
코이즈	기	2025.11.12	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
카티스	코	2025.11.12	무상증자	코스닥시장본부
에이치시티	코	2025.11.11	무상증자	코스닥시장본부
제너셈	코	2025.11.10	무상증자	코스닥시장본부
에이엠시지	기	2025.11.06	자진상장폐지 결정	코넥스시장
비올메디컬	기	2025.11.06	자진상장폐지 신청	코스닥시장본부
디와이디	코	2025.11.04	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
드림시큐리티	코	2025.11.03	무상증자	코스닥시장본부
하나27호기업인수목적	기	2025.10.31	상장폐지 사유발생	코스닥시장본부
파워풀엑스	기	2025.10.31	지정자문인 계약해지	코넥스시장
로지스몬	넥	2025.10.30	주식의 병합, 분할 등 전자등록 변경, 말소	코넥스시장
자이글	코	2025.10.29	상장적격성 실질심사 대상(사유발생)	코스닥시장본부
디앤디파마텍	코	2025.10.29	무상증자	코스닥시장본부
동성화인텍	코	2025.10.29	풍문 또는 보도 관련	코스닥시장본부
아이씨티케이	코	2025.10.28	단일판매공급계약	코스닥시장본부
피앤에스로보틱스	코	2025.10.24	무상증자	코스닥시장본부
레드우즈	넥	2025.10.24	자본감소	코넥스시장
지투지바이오	코	2025.10.22	무상증자	코스닥시장본부
와이씨켐	코	2025.10.21	영업양수도	코스닥시장본부
하이딥	코	2025.10.20	자본감소	코스닥시장본부
엑시온그룹	코	2025.10.20	단일판매공급계약	코스닥시장본부
아이비케이에스제21호기업인수목적	기	2025.10.20	SPAC 소멸합병	코스닥시장본부
세종텔레콤	코	2025.10.20	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
인피니트헬스케어	코	2025.10.17	상장적격성 실질심사 대상 (사유발생)	코스닥시장본부
올리패스	코	2025.10.15	투자자 보호	코스닥시장본부
엔에이치기업인수목적30호	기	2025.10.15	SPAC 합병(예비심사청구대상)	코스닥시장본부
골드앤에스	코	2025.10.15	자본감소	코스닥시장본부
미래에셋드림기업인수목적1호	기	2025.10.10	상장폐지 사유발생	코스닥시장본부
크레오에스지	코	2025.10.01	자본감소	코스닥시장본부
코다코	기	2025.10.01	투자자 보호	코스닥시장본부
제이엔케이글로벌	코	2025.10.01	단일판매공급계약	코스닥시장본부
알에프세미	기	2025.10.01	투자자 보호	코스닥시장본부
제이케이시냅스	코	2025.09.30	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
하나28호기업인수목적	기	2025.09.29	SPAC 소멸합병	코스닥시장본부
스피어	코	2025.09.29	단일판매공급계약	코스닥시장본부
비올메디컬	기	2025.09.29	투자자 보호 : 자진 상장폐지 결정	코스닥시장본부
하나26호기업인수목적	기	2025.09.26	상장폐지 사유발생	코스닥시장본부
삼성기업인수목적8호	기	2025.09.24	상장폐지 사유발생	코스닥시장본부
대창솔루션 IR	코	2025.09.24	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
유안타제13호기업인수목적	기	2025.09.22	상장폐지 사유발생	코스닥시장본부
시스웍	기	2025.09.22	투자자 보호	코스닥시장본부
노블엠앤비	기	2025.09.22	투자자 보호	코스닥시장본부
길교이앤씨	기	2025.09.22	피흡수합병 결정	코넥스시장
인베니아	코	2025.09.19	자본감소	코스닥시장본부
KS인더스트리	코	2025.09.19	불성실공시법인 지정	코스닥시장본부
엠젠솔루션	코	2025.09.18	중요한 영업정지	코스닥시장본부
디와이디	코	2025.09.18	자본감소	코스닥시장본부
온코닉테라퓨틱스	코	2025.09.17	무상증자	코스닥시장본부
조이웍스앤코	코	2025.09.12	영업양수도	코스닥시장본부
제이케이시냅스	코	2025.09.11	자본감소	코스닥시장본부
교보15호기업인수목적	기	2025.09.11	SPAC 합병(예비심사청구대상)	코스닥시장본부
아이톡시	코	2025.09.08	자본감소	코스닥시장본부
더테크놀로지	기	2025.09.08	투자자 보호	코스닥시장본부
로지스몬	넥	2025.09.05	자본감소	코넥스시장
솔디펜스	코	2025.09.03	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
아이엠	기	2025.09.01	투자자 보호	코스닥시장본부
스타코링크	기	2025.09.01	투자자 보호	코스닥시장본부
범한퓨얼셀	코	2025.09.01	단일판매공급계약	코스닥시장본부
에이비온	코	2025.08.29	무상증자	코스닥시장본부
비엔케이제2호기업인수목적	기	2025.08.29	SPAC 합병(예비심사청구대상)	코스닥시장본부
딥커머스	코	2025.08.27	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
스튜디오삼익	코	2025.08.25	무상증자	코스닥시장본부
링네트	코	2025.08.25	무상증자	코스닥시장본부
와이제이링크 IR	코	2025.08.21	무상증자	코스닥시장본부
이노스페이스	코	2025.08.18	무상증자	코스닥시장본부
카이노스메드	코	2025.08.14	상장적격성 실질심사 대상 (사유발생)	코스닥시장본부
엑시온그룹	코	2025.08.14	상장적격성 실질심사 대상 (사유발생)	코스닥시장본부
엑세스바이오	코	2025.08.14	상장적격성 실질심사 대상 (사유발생)	코스닥시장본부
소프트센	코	2025.08.14	풍문 또는 보도 관련	코스닥시장본부
세종텔레콤	코	2025.08.11	자본감소	코스닥시장본부
서희건설	코	2025.08.11	풍문 또는 보도 관련	코스닥시장본부
미래에셋비전기업인수목적2호	기	2025.08.11	SPAC 소멸합병	코스닥시장본부
아이큐어	코	2025.08.05	상장적격성 실질심사 대상 (사유발생)	코스닥시장본부
엔에프씨	코	2025.08.04	무상증자	코스닥시장본부
그린리소스	코	2025.08.04	무상증자	코스닥시장본부
티앤알바이오팹	코	2025.08.01	무상증자	코스닥시장본부
스피어	코	2025.07.31	단일판매공급계약	코스닥시장본부
신영해피투모로우제8호기업인수목적	기	2025.07.29	SPAC 소멸합병	코스닥시장본부
엔피엑스	기	2025.07.28	투자자 보호	코스닥시장본부
SCL사이언스	코	2025.07.28	영업양수도	코스닥시장본부
동국생명과학	코	2025.07.24	무상증자	코스닥시장본부
휴엠앤씨	코	2025.07.22	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
지슨	기	2025.07.22	주식의 병합, 분할 등 전자등록 변경, 말소	코넥스시장
아크솔루션스	기	2025.07.22	투자자 보호	코스닥시장본부
신영해피투모로우제9호기업인수목적	기	2025.07.21	상장폐지 사유발생	코스닥시장본부
산돌	코	2025.07.18	무상증자	코스닥시장본부
유안타제12호기업인수목적	기	2025.07.17	SPAC 합병(예비심사청구대상)	코스닥시장본부
비엔케이제1호기업인수목적	기	2025.07.15	상장폐지 사유발생	코스닥시장본부
대신밸런스제16호기업인수목적	기	2025.07.15	SPAC 합병(예비심사청구대상)	코스닥시장본부
현대바이오	코	2025.07.10	무상증자	코스닥시장본부
헥토파이낸셜 IR	코	2025.07.10	무상증자	코스닥시장본부
빌리언스	코	2025.07.09	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
엔에이치기업인수목적27호	기	2025.07.08	상장폐지 사유발생	코스닥시장본부
프로브잇	기	2025.07.04	투자자 보호	코스닥시장본부
씨엑스아이	코	2025.07.04	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
비유테크놀러지	기	2025.07.04	투자자 보호	코스닥시장본부
메디콕스	코	2025.06.30	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
대신밸런스제14호기업인수목적	기	2025.06.30	상장폐지 사유발생	코스닥시장본부
네오오토	코	2025.06.30	무상증자	코스닥시장본부
교보13호기업인수목적	기	2025.06.30	상장폐지 사유발생	코스닥시장본부
푸른소나무	기	2025.06.27	투자자 보호	코스닥시장본부
유진기업인수목적9호	기	2025.06.26	상장폐지 사유발생	코스닥시장본부
SBI핀테크솔루션즈 IR	기	2025.06.26	자진상장폐지 신청	코스닥시장본부
엔에이치기업인수목적26호	기	2025.06.25	상장폐지 사유발생	코스닥시장본부
소프트캠프	코	2025.06.23	상장적격성 실질심사 대상 (사유발생)	코스닥시장본부
씨씨에스	코	2025.06.20	상장적격성 실질심사 대상 (사유발생)	코스닥시장본부
케이비제28호기업인수목적	기	2025.06.17	SPAC 소멸합병	코스닥시장본부
SCL사이언스	코	2025.06.16	무상증자	코스닥시장본부
파마리서치	코	2025.06.13	분할	코스닥시장본부
일진파워	코	2025.06.13	상장적격성 실질심사 대상(사유발생)	코스닥시장본부
에이루트	코	2025.06.13	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
세토피아	기	2025.06.13	투자자 보호	코스닥시장본부
비에프랩스	기	2025.06.13	투자자 보호	코스닥시장본부
로아앤코홀딩스	기	2025.06.13	투자자 보호	코스닥시장본부
대신밸런스제18호기업인수목적	기	2025.06.13	SPAC 합병(예비심사청구대상)	코스닥시장본부
빌리언스	코	2025.06.12	자본감소	코스닥시장본부
에이디칩스	기	2025.06.11	투자자 보호	코스닥시장본부
알파칩스	코	2025.06.11	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
나노엔텍	코	2025.06.11	우회상장여부 및 요건충족확인	코스닥시장본부
플리토 IR	코	2025.06.10	무상증자	코스닥시장본부
엘컴텍	코	2025.06.10	중요한 영업정지	코스닥시장본부
에스엘에스바이오	코	2025.06.09	상장적격성 실질심사 대상 (사유발생)	코스닥시장본부
선샤인푸드	기	2025.06.05	투자자 보호	코스닥시장본부
아이비케이에스제22호기업인수목적	기	2025.05.30	SPAC 합병(예비심사청구대상)	코스닥시장본부
셀피글로벌	코	2025.05.30	투자자 보호	코스닥시장본부
삼미금속	코	2025.05.30		코넥스시장
SBI핀테크솔루션즈 IR	기	2025.05.29	투자자 보호:자진 상장폐지 결정	코스닥시장본부
퓨처코어 IR	기	2025.05.28	투자자 보호	코스닥시장본부
파멥신	기	2025.05.28	투자자보호	코스닥시장본부
세븐브로이맥주	넥	2025.05.28	회생절차개시신청	코넥스시장
하이퍼코퍼레이션	코	2025.05.27	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
엔에이치기업인수목적25호	기	2025.05.27	상장폐지사유 발생	코스닥시장본부
텔콘RF제약	코	2025.05.23	무상증자	코스닥시장본부
코엔텍	기	2025.05.23	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
인바이츠바이오코아	넥	2025.05.21	풍문 또는 보도 관련	코넥스시장
삼성기업인수목적9호	기	2025.05.21	SPAC 소멸합병	코스닥시장본부
에이루트	코	2025.05.20	자본감소	코스닥시장본부
아이비케이에스제20호기업인수목적	기	2025.05.20	상장폐지사유 발생	코스닥시장본부
삼성기업인수목적7호	기	2025.05.20	상장폐지 사유발생	코스닥시장본부
미래에셋비전기업인수목적3호	기	2025.05.19	SPAC 합병(예비심사청구대상)	코스닥시장본부
테크엔	기	2025.05.16		코넥스시장
퀀텀레일	코	2025.05.16	무상증자	코스닥시장본부
아이비케이에스제21호기업인수목적	기	2025.05.16	SPAC 합병(예비심사청구대상)	코스닥시장본부
탑런토탈솔루션	코	2025.05.15	무상증자	코스닥시장본부
인트로메딕	기	2025.05.14	투자자 보호	코스닥시장본부
휴엠앤씨	코	2025.05.13	자본감소	코스닥시장본부
하나금융25호기업인수목적	기	2025.05.13	상장폐지 사유발생	코스닥시장본부
하나28호기업인수목적	기	2025.05.13	SPAC 합병(예비심사청구대상)	코스닥시장본부
엔에이치기업인수목적24호	기	2025.05.13	상장폐지사유 발생	코스닥시장본부
바이오솔루션 IR	코	2025.05.13	무상증자	코스닥시장본부
에스케이증권제8호기업인수목적	기	2025.04.30	상장폐지 사유발생	코스닥시장본부
닷밀	코	2025.04.30	무상증자	코스닥시장본부
제일바이오	기	2025.04.29	투자자 보호	코스닥시장본부
원바이오젠	코	2025.04.29	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
씨앤에이치	기	2025.04.29	투자자 보호	코스닥시장본부
