종목명	시장	접수일자	정지사유	제출인
서한	코	2026.08.07	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
덕신이피씨	코	2026.08.07	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
에스트래픽	코	2026.08.06	영업양수도	코스닥시장본부
CSA 코스믹	코	2026.08.06	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
세화피앤씨	코	2026.08.05	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
윙스풋	코	2026.08.04	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
아스트	코	2026.08.04	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
씨이랩	코	2026.08.04	단일판매공급계약	코스닥시장본부
모아라이프플러스	코	2026.08.04	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
더라미	코	2026.08.04	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
국영지앤엠	코	2026.08.04	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
체리부로	코	2026.08.03	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
우듬지팜	코	2026.08.03	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
조아제약	코	2026.07.31	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
엘앤씨바이오	코	2026.07.31	무상증자	코스닥시장본부
시그네틱스	코	2026.07.31	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
나노실리칸첨단소재	코	2026.07.31	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
파루	코	2026.07.30	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
대진첨단소재	코	2026.07.30	투자자 보호	코스닥시장본부
피플바이오	코	2026.07.29	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
미스터블루	코	2026.07.29	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
드림어스컴퍼니	코	2026.07.28	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
한화플러스제5호스팩	코	2026.07.27	SPAC 합병(예비심사청구대상)	코스닥시장본부
한국캐피탈	코	2026.07.27	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
티엔엔터테인먼트	코	2026.07.27	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
에스아이리소스	코	2026.07.27	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
덕신이피씨	코	2026.07.27		코스닥시장본부
한울앤제주	코	2026.07.24	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
코미코	코	2026.07.24	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
우리이앤엘하루틴	코	2026.07.24	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
라온피플	코	2026.07.24	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
덕신이피씨	코	2026.07.24	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
나이스정보통신	코	2026.07.24	주식분할	코스닥시장본부
티앤엘	코	2026.07.23	무상증자	코스닥시장본부
컴투스엔	코	2026.07.22	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
아티스트컴퍼니	코	2026.07.22	영업양수도	코스닥시장본부
스트라드비젼	코	2026.07.22	단일판매공급계약	코스닥시장본부
덱스터	코	2026.07.22	풍문 또는 보도 관련	코스닥시장본부
대신정보통신	코	2026.07.22	주식병합	코스닥시장본부
파라텍	코	2026.07.21	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
베셀	코	2026.07.21	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
KS인더스트리	코	2026.07.21	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
모바일어플라이언스	코	2026.07.20	상장적격성 실질심사 대상 (사유발생)	코스닥시장본부
하나30호기업인수목적	기	2026.07.20	상장폐지 사유발생	코스닥시장본부
헝셩그룹	코	2026.07.16	주식병합	코스닥시장본부
츌립앤사이언스	코	2026.07.16	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
엑사이엔씨	코	2026.07.16	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
알테오젠	코	2026.07.16	무상증자	코스닥시장본부
아이윈	코	2026.07.16	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
엣지파운드리	코	2026.07.15	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
프롬바이오	코	2026.07.14	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
지엘팜텍	코	2026.07.14	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
블리츠웨이엔터테인먼트	코	2026.07.14	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
아이비케이에스제23호기업인수목적	기	2026.07.14	상장폐지 사유발생	코스닥시장본부
한국첨단소재	코	2026.07.13	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
코세스	코	2026.07.13	단일판매공급계약	코스닥시장본부
이브이첨단소재	코	2026.07.13	자본감소	코스닥시장본부
유진테크놀로지	코	2026.07.13	무상증자	코스닥시장본부
RF머트리얼즈	코	2026.07.10	무상증자	코스닥시장본부
웨이버스	코	2026.07.08	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
비큐AI	코	2026.07.08	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
CSA 코스믹	코	2026.07.08	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
청보	코	2026.07.07	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
씨이랩	코	2026.07.07	단일판매공급계약	코스닥시장본부
부스타	코	2026.07.07	무상증자	코스닥시장본부
루트K	코	2026.07.07	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
데이타솔루션	코	2026.07.07	단일판매공급계약	코스닥시장본부
위지윅스튜디오	기	2026.07.07	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
GMI벤처	코	2026.07.06	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
인크레더블버즈 IR	코	2026.07.03	투자자 보호	코스닥시장본부
유틸렉스	코	2026.07.03	투자자 보호	코스닥시장본부
필에너지	코	2026.07.01	단일판매공급계약	코스닥시장본부
MSDI	코	2026.07.01	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
이엠티	넥	2026.06.30	사업보고서 미제출	코넥스시장
유진스팩10호	코	2026.06.30	SPAC 합병(예비심사청구대상)	코스닥시장본부
디젠스	코	2026.06.30	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
KNN	코	2026.06.30	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
IBKS제25호스팩	코	2026.06.30	SPAC 합병(예비심사청구대상)	코스닥시장본부
플리토 IR	코	2026.06.29	단일판매공급계약	코스닥시장본부
큐리오시스	코	2026.06.29	무상증자	코스닥시장본부
큐라티스	코	2026.06.26	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
케스피온	코	2026.06.25	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
예선테크	코	2026.06.25	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
토비스	코	2026.06.24	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
KS인더스트리	코	2026.06.24	자본감소	코스닥시장본부
지슨	코	2026.06.23	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
동일기연	코	2026.06.19	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
IBKS제24호스팩	코	2026.06.19	SPAC 합병(예비심사청구대상)	코스닥시장본부
엔젠바이오	코	2026.06.18	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
인산가	코	2026.06.17	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
한탑	코	2026.06.16	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
제이케이시냅스	코	2026.06.16	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
이렘	코	2026.06.16	주식의 병합, 분할 등 전자등록 변경, 말소	코스닥시장본부
