
## 차트
날짜 | 클릭수 | 노출 | CTR | 게재 순위
https://moneyproducer.co.kr/24 | 0.0 | 3.0 | 0.0 | 14.33
https://moneyproducer.co.kr/tag/상장폐지 | 0.0 | 3.0 | 0.0 | 19.0
https://moneyproducer.co.kr/25 | 0.0 | 2.0 | 0.0 | 21.0
https://moneyproducer.co.kr/20 | 0.0 | 2.0 | 0.0 | 22.0
https://moneyproducer.co.kr/?page=3 | 0.0 | 2.0 | 0.0 | 25.0
https://moneyproducer.co.kr/category/환률. 매크로 | 0.0 | 2.0 | 0.0 | 29.0
https://moneyproducer.co.kr/23 | 0.0 | 1.0 | 0.0 | 8.0

## 국가
국가 | 클릭수 | 노출 | CTR | 게재 순위
한국 | 27.0 | 3282.0 | 0.0082 | 6.1
영국 | 1.0 | 2.0 | 0.5 | 4.0
미국 | 0.0 | 398.0 | 0.0 | 6.59
홍콩 | 0.0 | 36.0 | 0.0 | 6.78
일본 | 0.0 | 16.0 | 0.0 | 4.31
브라질 | 0.0 | 9.0 | 0.0 | 7.89
리투아니아 | 0.0 | 8.0 | 0.0 | 5.62
인도 | 0.0 | 7.0 | 0.0 | 6.57
인도네시아 | 0.0 | 6.0 | 0.0 | 3.33
대만 | 0.0 | 6.0 | 0.0 | 8.0
아랍에미리트 연합 | 0.0 | 5.0 | 0.0 | 7.8
네덜란드 | 0.0 | 5.0 | 0.0 | 7.8
베트남 | 0.0 | 4.0 | 0.0 | 4.5
캐나다 | 0.0 | 4.0 | 0.0 | 6.75
필리핀 | 0.0 | 3.0 | 0.0 | 4.33
멕시코 | 0.0 | 3.0 | 0.0 | 8.0
말레이시아 | 0.0 | 2.0 | 0.0 | 4.0
중국 | 0.0 | 2.0 | 0.0 | 8.0
페루 | 0.0 | 1.0 | 0.0 | 2.0
이집트 | 0.0 | 1.0 | 0.0 | 3.0
러시아 | 0.0 | 1.0 | 0.0 | 3.0
방글라데시 | 0.0 | 1.0 | 0.0 | 4.0
오스트리아 | 0.0 | 1.0 | 0.0 | 6.0
가나 | 0.0 | 1.0 | 0.0 | 7.0
싱가포르 | 0.0 | 1.0 | 0.0 | 7.0
체코 | 0.0 | 1.0 | 0.0 | 9.0
이탈리아 | 0.0 | 1.0 | 0.0 | 9.0
아르헨티나 | 0.0 | 1.0 | 0.0 | 11.0
베네주엘라 | 0.0 | 1.0 | 0.0 | 11.0
칠레 | 0.0 | 1.0 | 0.0 | 26.0

## 기기
기기 | 클릭수 | 노출 | CTR | 게재 순위
모바일 | 14.0 | 594.0 | 0.0236 | 4.56
데스크톱 | 13.0 | 3185.0 | 0.0041 | 6.49
태블릿 | 1.0 | 31.0 | 0.0323 | 3.26

## 검색 노출
검색 노출 | 클릭수 | 노출 | CTR | 게재 순위

## 필터
필터 | 값
검색 유형 | 웹
날짜 | 지난 28일
