20260102	1434.9
20260105	1442.1
20260106	1446.8
20260107	1445.7
20260108	1448.3
20260109	1449.4
20260112	1455.7
20260113	1464.1
20260114	1472.8
20260115	1477.5
20260116	1469.7
20260119	1473.5
20260120	1473.6
20260121	1477
20260122	1472.8
20260123	1468.4
20260126	1467.2
20260127	1442.8
20260128	1448.8
20260129	1428.6
20260130	1427
20260202	1436.7
20260203	1457.3
20260204	1449
20260205	1451.2
20260206	1464.1
20260209	1470.3
20260210	1464.3
20260211	1457.7
20260212	1454.4
20260213	1443.4
20260219	1443.1
20260220	1450.7
20260223	1448.7
20260224	1442
20260225	1445.8
20260226	1435.3
20260227	1424.5
20260303	1435.4
20260304	1464.5
20260305	1478.8
20260306	1464.3
20260309	1474.5
20260310	1493.1
20260311	1472.8
20260312	1467.3
20260313	1479.8
20260316	1489.5
20260317	1496
20260318	1491.6
20260319	1486
20260320	1499.7
20260323	1494.9
20260324	1509.6
20260325	1498.3
20260326	1495.6
20260327	1506.2
20260330	1508.1
20260331	1513.4
20260401	1530.5
20260402	1507.8
20260403	1518.8
20260406	1507.6
20260407	1507.2
20260408	1506.8
20260409	1476.1
20260410	1481.1
20260413	1479.8
20260414	1489.8
20260415	1481.4
20260416	1473.1
20260417	1472.6
20260420	1480
20260421	1475.6
20260422	1470.8
20260423	1477.6
20260424	1480.6
20260427	1482.9
20260428	1473.1
20260429	1473.3
20260430	1476.1
20260504	1484.8
20260506	1470.5
20260507	1456.8
20260508	1450.8
20260511	1466
20260512	1473
20260513	1484.3
20260514	1495.1
20260515	1491.8
20260518	1499.8
20260519	1503.4
20260520	1503.8
20260521	1509.7
20260522	1503.5
20260526	1513.3
20260527	1507.9
20260528	1501.6
20260529	1505.8
20260601	1503.2
20260602	1511.3
20260604	1515.6
20260605	1528.6
20260608	1543
20260609	1546.5
20260610	1518.4
20260611	1522.4
20260612	1527
20260615	1520.4
20260616	1510
20260617	1513.5
20260618	1512.8
20260619	1523.4
20260622	1535
20260623	1535.7
20260624	1537.2
20260625	1538.3
20260626	1545.3
20260629	1544.2
20260630	1541.5
20260701	1548.4
20260702	1554.4
20260703	1554.1
20260706	1539.7
20260707	1531.8
20260708	1526.6
20260709	1509.9
20260710	1504.2
20260713	1507.1
20260714	1504.9
20260715	1492.2
20260716	1488.8
20260720	1484.3
20260721	1482
20260722	1475.6
20260723	1480.9
20260724	1469.4
20260727	1466.3
20260728	1465.4
20260729	1466.2
20260730	1450.1
20260731	1441.1
20260803	1433.6
20260804	1429.9
20260805	1428.2
20260806	1424.8
20260807	1418.8
20260810	1420.1
20260811	1415.3
20260812	1415
20260813	1415
20260814	1414.9
20260818	1415.2
20260819	1411
20260820	1402.5
20260821	1393
20260824	1383.6
20260825	1380.6
20260826	1383.1
20260827	1384.6
20260828	1380.3
20260831	1376.5
20260901	1373.6
20260902	1370.3
20260903	1369.4
20260904	1359.5
20260907	1355.2
20260908	1342.6
20260909	1341.1
20260910	1337.9
20260911	1338.2
20260914	1346.4
20260915	1345.3
20260916	1353.3
20260917	1368.3
20260918	1380.3
20260921	1383.8
20260922	1384.3
